user_id,recommendations
0: 705 775 822 1717 3175 4246 4503 4593 4868 4986 6145 6206 7750 8932 9409 9494 11659 17556 31635 34111
1: 17 24 25 1637 1692 2732 2753 2757 2766 2767 2771 2802 2825 5378 8179 9632 10594 13012 16392 29849
2: 90 822 1550 1690 2820 3504 4586 4593 4594 4868 4986 5388 5391 7750 8703 9292 11659 31635 34111 36770
3: 644 8117 8172 10069 24573 25450 28085 28435 30105 31930 34713 35547 35565 35635 35734 35818 35990 36984 37185 38041
4: 16038 16127 16242 16533 16900 18459 18541 20898 22766 22847 27872 28394 29176 29545 31368 32227 33397 33651 35325 35464
5: 915 1170 1435 4374 4398 4658 5544 5550 6537 8725 9331 10671 11892 12151 12161 12723 16993 17297 33902 35252
6: 5092 5127 6223 10747 11834 11838 13396 15330 16764 17538 20569 25630 26770 27840 28141 29825 31964 33719 35697 37584
7: 4951 7881 10451 10490 14431 15068 15712 16633 19438 19860 22152 22421 22784 23300 29132 29154 30248 30523 32936 36748
8: 779 789 835 1011 1014 1073 1632 1634 1636 1692 1724 2719 2732 2757 2767 2771 2802 2828 5378 10594
9: 3016 15557 17575 25964 26701 26920 31139 31219 31611 31741 31954 32524 32528 32532 32661 32744 35054 35669 35819 36643
10: 629 837 844 1000 1002 1680 1688 4682 4691 4692 4698 4700 6072 10015 10021 10022 10028 10033 10042 12264
11: 569 571 579 612 626 837 844 846 995 997 1000 1675 1680 4682 4698 5169 10028 10033 10045 18068
12: 1305 1309 1346 1355 1748 1773 1780 2681 5432 6155 6305 7684 7693 11772 11778 11780 12756 14276 15883 19799
13: 722 815 824 828 831 1008 1013 1014 1032 1150 1451 1537 1538 1539 1556 2722 2728 2742 2916 3058
14: 1453 1559 1945 2030 2876 2894 2949 2955 3334 3438 3497 3520 3547 3553 3614 4918 4936 5498 6660 7621
15: 2654 2656 3208 4077 6290 7864 8098 8101 9056 9314 10156 10160 11205 11706 12259 14671 15776 15785 18039 23044
16: 104 662 822 1010 1014 1309 1451 1559 1719 2762 2771 2796 2823 2882 3488 5512 7241 7888 11648 17095
17: 1023 1051 2645 2758 2786 2787 2801 2804 2806 2811 4133 4944 5026 5155 7888 8295 8416 9567 9994 16392
18: 678 722 1453 1726 2962 3429 3438 3502 3709 4241 4598 5880 6209 6660 10804 11049 12923 16372 25416 26061
19: 662 772 1007 1008 1014 1451 1538 1553 1557 1558 1724 2721 2728 2828 3546 4664 4740 4870 5512 10855
20: 579 590 607 621 626 997 1002 1003 1688 4679 4691 4697 8464 10015 10021 10032 12095 12595 15078 18068
21: 2702 3171 3178 3182 3194 3936 15984 16020 16071 16569 16807 16866 17017 17985 18347 18746 18752 18756 20876 20923
22: 1143 1180 1429 1466 1495 1497 1505 1624 1979 2174 3388 4166 4538 6182 7810 7830 8388 9036 12349 13299
23: 958 960 3396 3398 3399 3402 3403 3410 3419 4049 4050 4063 4064 4582 4583 5192 5271 5272 7276 8515
24: 943 3396 3397 3398 3399 3403 3410 4049 4050 4062 4063 4064 4582 5192 5271 5272 6305 7276 8515 24764
25: 581 591 596 613 837 839 1320 1321 1680 1681 1685 1689 4680 4686 4690 4701 10032 12595 13427 15078
26: 19 662 663 825 832 1451 1547 1557 1636 1724 2721 2728 2792 2826 2827 2828 5004 5878 5913 11657
27: 1232 1407 1571 1574 1632 1653 2919 3058 3274 3433 3750 3831 4136 4201 4235 4258 4326 4541 5201 5212
28: 788 906 1071 1624 3720 3742 4032 4036 4202 4460 5108 5588 5593 7027 8818 9765 12590 15123 17231 17254
29: 901 1069 1147 1856 2267 3058 4142 4186 4275 4621 5117 5545 5546 5552 5828 6245 7627 8367 9659 9660
30: 912 935 1153 1338 1447 1495 1526 4458 4638 5370 6095 6228 7195 7501 7810 7830 8967 11509 15958 25198
31: 561 565 592 843 990 4695 4703 4704 7537 7670 9491 10025 10036 10285 10288 13968 14723 27812 31920 34508
